Date,total_transaction_count,total_value_per_day,avg_value_per_transaction,total_gas_per_day,avg_gas_price_per_day,total_gas_used_per_day,avg_gas_used_per_transaction,total_transaction_fee,avg_transaction_fee_per_transaction,total_priority_fee,avg_priority_fee_per_transaction
2021-08-06,1858295,3312347353164417671705045,1782465837320994606.187416422,887022572620,52813740975.201256,579251972329,311711.52714127733,6500213118916129,3497944685.2712455,2961930059272606,1593896587.609936
2021-08-07,1886867,2808762260002176209705801,1488585183800541431.752106004,907358883071,53857350461.947624,580503022905,307654.44671246037,8512080669807517,4511224516.5173368,3816702284968580,2022772291.3001182
2021-08-08,1899245,3181154601326009802263455,1674957470640180599.27152895,1098504313799,50351055055.077095,750625791181,395223.25512558938,7786035039939195,4099542207.5294104,3246097104368952,1709151322.9567287
2021-08-09,1881198,4280554792678282942927675,2275440858792260539.787770878,1102972611248,62682182657.414444,717371621363,381337.6483299472,10632085612066117,5651763191.363225,4682654101276431,2489187263.26332
2021-08-10,1819503,2336958902746290094003261,1284394091543839220.931903382,923006758688,65723738220.511238,583227338766,320542.1143938757,13007268703991469,7148803109.4158506,4779586756472805,2626863905.4031816
2021-08-11,1905648,2119524304891637361661999,1112232849346593579.53934777,1016056044087,68029918707.357117,669830223532,351497.350786714,17304141787520505,9080450213.0091724,6190039359204112,3248259573.228693
2021-08-12,1904920,2651268474499284442814476,1391800429676461186.199145371,1640093427169,63208180221.320274,1096885411263,575817.04809808289,18002994786233150,9450787847.3810711,6740320903809715,3538374789.392581
2021-08-13,1841048,2286954781744722858867652,1242202692023631572.271690906,1058696985945,61837941775.784042,664864378739,361133.64710697386,23021689412333917,12504665501.569712,7177655790814445,3898679334.169693
2021-08-14,1839659,2886762534015109212214558,1569183492166270603.527370018,1049739093653,54902802369.64743,692242484501,376288.47764775972,22867922005843431,12430522181.471367,7166625877786322,3895627329.7313914
2021-08-15,1766129,2791203623269554460548342,1580407559849566175.827667175,976444377138,58159420259.420853,664591837787,376298.58169307,24446598398667621,13841909848.412897,7155639016159438,4051594768.0828738
2021-08-16,1860863,4046090413872637851248371,2174308594384776230.839331536,932905440586,60384906635.521751,612005486325,328882.61324181309,29242241491866126,15714344092.964462,7673286794827191,4123509788.1075559
2021-08-17,1976484,5656777563726457583055148,2862040655895245083.216028058,1031808700300,58670088936.379845,633676506378,320607.96160151059,31941640648314474,16160839474.700768,10177845536307080,5149470239.2263632
2021-08-18,1945743,3709921636876649108441977,1906686359337615043.940529145,943880651140,53405362614.040573,587281062295,301828.69078547374,33620376265887898,17278939852.738976,12365064206395257,6354931872.5007648
2021-08-19,2006034,4354364340187588159443573,2170633369218860776.758306689,1026335764846,53094747686.209824,671835601855,334907.38534591137,66825387640034519,33312190939.951427,23890165525892340,11909152848.801336
2021-08-20,2022254,3733772944103767757521134,1846342222146064617.758765219,1228509669686,47331157776.909607,817079377497,404043.89235822996,64088669187732691,31691701036.433945,17767161322607299,8785820832.8960152
2021-08-21,1938725,1502721593140319802012717,775108173227414822.634833202,949289626895,40998802063.106567,613175549892,316277.73402210214,56748452279468721,29271016920.640484,14597800228241265,7529587862.2503262
2021-08-22,1972121,1487090350813048385577952,754056343811078724.67153486,959725504983,42292658563.835396,629388140683,319142.76085645863,61603384755359078,31237122243.188465,16894078621636338,8566451359.54454
2021-08-23,1909115,2323430361776522723503144,1217019593778542792.604502086,857188586167,68064698201.741493,546363860184,286186.9820225602,93146432465014678,48790372746.018272,20242831504462300,10603254127.940067
2021-08-24,1838534,2582260835364548719044944,1404521665285792223.067369981,857103351866,87829970689.835724,530794585494,288705.34104563744,118316778116308251,64353870048.804237,25473685977181188,13855433719.028959
2021-08-25,1741369,1851873642088313828316336,1063458487022746946.980413686,831162697603,101425356403.01082,538123074401,309023.0010991352,133643756206164743,76746373804.842468,24609387112986741,14132206966.465315
2021-08-26,1798274,1781044716488864395978845,990418988701868789.727730591,1045603368951,100207951403.45212,680793913709,378581.85888746654,141572535782949508,78726899117.125366,31860734241090836,17717396926.770245
2021-08-27,1637925,2169111321683735530413932,1324304422781101412.100024116,1012885058089,119506043030.49384,690022712598,421278.57661248225,155760647217990184,95096324445.863,27466209455890320,16768905447.984688
2021-08-28,1671105,1530068807602298758374112,915603033682682272.133774957,953067826076,90349091527.473083,665465808357,398219.02774331952,120035251007759407,71829867667.058273,26763504503574639,16015453549.342884
2021-08-29,1692432,1875772602647153156981685,1108329671530172649.170947489,868629865197,95080615613.617172,599211783046,354053.68312936649,121399810617335736,71730982761.6919,29892187422446263,17662267921.220036
2021-08-30,1703404,1946980114336269224670614,1142993743314134066.064547224,749139514638,115703536514.44179,477773355937,280481.52753956197,150065620193879906,88097491959.558563,31935812136843418,18748231269.178314
2021-08-31,1682691,1969772523660711969803438,1170608580934177439.472510401,862802124230,126588237537.06538,558716937083,332037.75207866449,163215348637610265,96996625427.728729,31664909743561116,18818018129.033268
2021-09-01,1671107,2034650345038231776783276,1217546419851171574.760488706,845485394441,138134226249.22449,507873295864,303914.28906946117,183236630715556689,109649849300.82677,33046421151857683,19775167689.356625
2021-09-02,1692965,2648949904218638783027767,1564680843501571965.768794393,1026584891296,115400634228.53638,680939829390,402217.31068864389,164616324528547866,97235515517.773773,29616323600742658,17493760119.519691
2021-09-03,1537530,2516016388226584228197067,1636401493451564670.736224334,835006468154,153195252448.18216,548314458237,356620.33146475191,193491394407352532,125845605879.13898,31864031106059815,20724168703.0886
2021-09-04,1526453,1453262791138501773238457,952052104544654681.957752384,750811479825,123181748320.71223,508679440326,333242.77938855637,157852453569780716,103411276711.29128,29060706635971110,19038061857.109989
2021-09-05,1672502,1204427683588844071769606,720135272537099550.11689433,1136391967300,117536511643.64838,823756695176,492529.57256613148,166849395502341737,99760356341.781189,29152620315610681,17430544367.427174
2021-09-06,1672759,1730875500345622063402833,1034742901007032132.78352291,859386108709,122453815459.47813,560688996965,335188.15141033469,173282730456401333,103590971835.39371,29224280562829293,17470705919.280239
2021-09-07,1763630,3711023650441738488542332,2104196260236976286.716789803,856963304410,193192102786.71021,517689461549,293536.32085471443,260988653509301897,147983791106.5824,68665578824724408,38934231570.524658
2021-09-08,1778083,2794149225458051939001903,1571439142862314042.146459417,942907137362,164165803683.43924,601709488542,338403.487656088,254543376200558395,143156071004.87344,42408087433895435,23850454356.683819
2021-09-09,1742106,1435755505806910895701042,824149337529926936.536032825,990773698217,151026463994.6619,637074990281,365692.43793489027,227185144910917817,130408336180.98889,45865700956219651,26327732615.707455
2021-09-10,1808527,2510143488358747942763724,1387949136705588549.556475518,1097744671236,109233781584.65604,745763390267,412359.55574177217,174530640688455960,96504304712.318909,35534037969583105,19648055002.542458
2021-09-11,1850315,2265895720163519220006137,1224599984415366691.620689991,992187138913,71988846953.330688,681556100239,368345.98446156463,125839548004650746,68009797253.251877,20810578043397795,11247046066.965784
2021-09-12,1855002,1623866784168145353932041,875398939822245665.466690063,939159729670,65246758346.902596,652562430761,351785.297676768,114892061530225620,61936354532.353935,16028861341344940,8640886285.483757
2021-09-13,1744929,2117100306725157190385153,1213287363970200042.743947175,903605963739,83662328900.6588,604324968283,346332.12485035206,128425300933065323,73599155571.983353,20596239829137966,11803483023.743641
2021-09-14,1864326,1231988645599273789349356,660822541550819861.627932025,1177701256368,76681682144.387466,828378817043,444331.52626901091,129903110920499313,69678323920.011475,24772071940832022,13287414293.869219
2021-09-15,1841061,1751423648634410779408546,951312123082510997.413201409,1471803407623,76278793659.980042,1044042793630,567087.56180810952,130805098767088590,71048758714.1809,22468433584151215,12204067971.757164
2021-09-16,1921175,2140837393855072618662594,1114337524616483463.850296824,1224661106670,87100320902.605652,856144840214,445636.05096568505,143403745514966550,74643770356.665344,24593912482792432,12801495169.774973
2021-09-17,1875365,1366573440550795633408470,728697315216395546.151533168,1777941858578,77812298864.707626,985362402798,525424.33222226077,131183604776184260,69950972091.397812,18553255103687287,9893143523.360672
2021-09-18,1794352,965113246057438881431156,537861716127849430.563878213,914500261465,57854808235.974022,627355707206,349628.00342742115,103430015310801892,57641987364.130272,14725279242919015,8206460740.6568031
2021-09-19,1827958,1157600218830791711606021,633275063667103791.00943293,1108885772322,62954345292.793922,804176829433,439931.78696282959,108967387278225916,59611537725.826263,21271374964539677,11636686928.550697
2021-09-20,1823895,3336127632335227854542024,1829122637177703680.607723581,1059178603545,93204454518.166122,651009790907,356933.80973520956,154440637076548212,84676276362.700821,24279410472513104,13311846609.872335
2021-09-21,1798601,3315563893922627800514242,1843412682369590476.439322562,1049899777827,105674723583.9445,704733965443,391823.403546979,171510150537232250,95357530957.245239,25633124060868859,14251701217.150919
2021-09-22,1889959,1817528781005399984630363,961676301446433485.927664568,911432684864,74193160565.507263,589424628778,311871.64842094458,132255391691653399,69977915759.893936,22566074254023463,11939980842.983082
2021-09-23,1762789,1783308329716972709212354,1011640264215951375.469414661,1158204818088,95411537581.576675,802196864220,455072.53801787965,148362724658550057,84163631982.358658,35276592833637008,20011806763.961544
2021-09-24,1787277,2819825862277790395270758,1577721786985336014.098966193,921742706641,79091872542.3063,594559163890,332662.01259793527,133441467451100027,74661883664.983124,21281277519632787,11907095273.778372
2021-09-25,1848742,1322577501464307860754573,715393224941234558.826798439,1191918317465,50374527298.314247,832225700079,450157.83710166154,94555968959623727,51146113930.242149,14498910522257406,7842581886.6328592
2021-09-26,1792543,1896056229768295960867502,1057746581124299925.227736238,1164038144262,73429082541.461334,789517402563,440445.44681103883,128573426084354247,71726829473.186554,23462260428543827,13088813171.312391
2021-09-27,1701486,1507882003779617176974532,886214758028933048.508499041,799617850497,181738103300.01907,532670302269,313061.81906227849,487705684370151426,286635143850.81714,179987002462887977,105782241207.32581
2021-09-28,1670661,1570824249772475917540031,940241167880543041.071785958,833651362126,93653910693.154861,544660602544,326015.03389616444,146047779280940515,87419158812.554138,20489271593548760,12264170644.76202
2021-09-29,1785604,1641097573813496541097280,919071403185418794.479223837,882690896033,84074189287.502274,590712584614,330819.47879485035,147450579298888677,82577424389.107925,21168735526508067,11855224073.483297
2021-09-30,1693052,2143222587359525490502246,1265892947977690874.528511824,1106104248025,106040331455.65967,785208220124,463782.69546593964,174503244741859783,103070221553.65564,23363094724513151,13799395839.296816
2021-10-01,1765185,1831839033421913166203737,1037760366999443778.529580186,864180613550,91742876805.3816,585024522409,331423.91443899646,158492353930798538,89787956463.939209,19178399762329024,10864810069.385942
2021-10-02,1784522,1240796744220779186710147,695310421625947557.222688765,992203438096,68420245430.141846,693124319781,388408.95196640893,121170531187515633,67900833493.5157,18393255592125976,10307104979.443222
2021-10-03,1758594,1338331514061822656712773,761023587059789045.517483285,896328572673,64838115648.702835,609282127303,346459.80101319577,115226921660479755,65522185143.631653,15683180166774364,8918022105.5993385
2021-10-04,1724611,1489480251718301191151697,863661574533794108.440510353,865045278264,102489500838.32098,578843612344,335637.20302375435,171218330070755577,99279391161.6913,19962918473068993,11575316678.989634
2021-10-05,1768577,1527614389419439229080781,863753395763621956.567783591,946246801469,131533930966.6105,642524564447,363300.30552642042,210441756932934313,118989310011.91031,30531550243811597,17263342361.577469
