token,Code,Type
Aidcoin,AIDOC,Sustainability
Decred,DCR,Sustainability
EcoBit,ECOB,Sustainability
Energi Token,ETK,Energy Trading
Faircoin,FAIR,Sustainability
PowerLedger,POWR,Energy Trading
Restart Energy,MWAT,Energy Trading
Wepower,WPR,Energy Trading
Bloom,BLT,Finance
Credits,CS,Finance
Electroneum,ETN,Finance
Ethlend,LEND,Finance
Everex,EVX,Finance
KoraNetwork,KNT,Finance
Moeda,MDA,Finance
Omisego,OMG,Finance
Ripio,RCN,Finance
Stellar,XLM,Finance
Swarm City,SWT,Finance
Modum,MOD,Supply Chain
Te-Food,TFD,Supply Chain
VeChain,VET,Supply Chain
Decent,DCT,Art and Media
Gifto,GTO,Art and Media
Po.et,POE,Art and Media
Dock,DOCK,Technology
Experty,EXY,Technology
Holo,HOT,Internet
Maidsafe,MAID,Internet
Mysterium,MYST,Internet
RightMesh,RMESH,Internet
Substratum,SUB,Internet
